name,example_input,desp,tag,path
comment," <!--This is a comment. Comments are not displayed in the browser-->

<p>This is a paragraph.</p> ","The comment tag is used to insert comments in the source code. Comments are not displayed in the browsers.

You can use comments to explain your code, which can help you when you edit the source code at a later date. This is especially useful if you have a lot of code.",<!--...-->,C:/Users/HP/Documents/python/Scripts/app/images/comment.png
DOCTYPE," <!DOCTYPE html>
<html>
<head>
<title>Title of the document</title>
</head>

<body>
The content of the document......
</body>

</html> ","All HTML documents must start with a <!DOCTYPE> declaration.

The declaration is not an HTML tag. It is an ""information"" to the browser about what document type to expect.

In HTML 5, the declaration is simple:",<!DOCTYPE html>,C:/Users/HP/Documents/python/Scripts/app/images/DOCTYPE.png
a, <a >Visit W3Schools.com!</a> ,"The <a> tag defines a hyperlink, which is used to link from one page to another.

The most important attribute of the <a> element is the href attribute, which indicates the link's destination.

By default, links will appear as follows in all browsers:

    An unvisited link is underlined and blue
    A visited link is underlined and purple
    An active link is underlined and red

",<a>,C:/Users/HP/Documents/python/Scripts/app/images/a.png
abbr,"The <abbr title=""World Health Organization"">WHO</abbr> was founded in 1948. ","The <abbr> tag defines an abbreviation or an acronym, like ""HTML"", ""CSS"", ""Mr."", ""Dr."", ""ASAP"", ""ATM"".",<abbr>,C:/Users/HP/Documents/python/Scripts/app/images/abbr.png
address," <address>
Written by <a href=""mailto:webmaster@example.com"">Jon Doe</a>.<br>
Visit us at:<br>
Example.com<br>
Box 564, Disneyland<br>
USA
</address> ","The <address> tag defines the contact information for the author/owner of a document or an article.

The contact information can be an email address, URL, physical address, phone number, social media handle, etc.

The text in the <address> element usually renders in italic, and browsers will always add a line break before and after the <address> element.", <address>,C:/Users/HP/Documents/python/Scripts/app/images/address.png
area," <img src=""workplace.jpg"" alt=""Workplace"" usemap=""#workmap"" width=""400"" height=""379"">

<map name=""workmap"">
  <area shape=""rect"" coords=""34,44,270,350"" alt=""Computer"" href=""computer.htm"">
  <area shape=""rect"" coords=""290,172,333,250"" alt=""Phone"" href=""phone.htm"">
  <area shape=""circle"" coords=""337,300,44"" alt=""Cup of coffee"" href=""coffee.htm"">
</map> ","The <area> tag defines an area inside an image map (an image map is an image with clickable areas).

<area> elements are always nested inside a <map> tag.",<area>,C:/Users/HP/Documents/python/Scripts/app/images/area.png
article," <article>
<h2>Google Chrome</h2>
<p>Google Chrome is a web browser developed by Google, released in 2008. Chrome is the world's most popular web browser today!</p>
</article>

<article>
<h2>Mozilla Firefox</h2>
<p>Mozilla Firefox is an open-source web browser developed by Mozilla. Firefox has been the second most popular web browser since January, 2018.</p>
</article>

<article>
<h2>Microsoft Edge</h2>
<p>Microsoft Edge is a web browser developed by Microsoft, released in 2015. Microsoft Edge replaced Internet Explorer.</p>
</article> ","The <article> tag specifies independent, self-contained content.

An article should make sense on its own and it should be possible to distribute it independently from the rest of the site.

Potential sources for the <article> element:

    Forum post
    Blog post
    News story

Note: The <article> element does not render as anything special in a browser. However, you can use CSS to style the <article> element (see example below).",<article>,C:/Users/HP/Documents/python/Scripts/app/images/article.png
aside," <p>My family and I visited The Epcot center this summer. The weather was nice, and Epcot was amazing! I had a great summer together with my family!</p>

<aside>
<h4>Epcot Center</h4>
<p>Epcot is a theme park at Walt Disney World Resort featuring exciting attractions, international pavilions, award-winning fireworks and seasonal special events.</p>
</aside> ","The <aside> tag defines some content aside from the content it is placed in.

The aside content should be indirectly related to the surrounding content.

Tip: The <aside> content is often placed as a sidebar in a document.

Note: The <aside> element does not render as anything special in a browser. However, you can use CSS to style the <aside> element (see example below).",<aside>,C:/Users/HP/Documents/python/Scripts/app/images/aside.png
audio," <audio controls>
  <source src=""horse.ogg"" type=""audio/ogg"">
  <source src=""horse.mp3"" type=""audio/mpeg"">
  Your browser does not support the audio tag.
</audio> ","The <audio> tag is used to embed sound content in a document, such as music or other audio streams.

The <audio> tag contains one or more <source> tags with different audio sources. The browser will choose the first source it supports.

The text between the <audio> and </audio> tags will only be displayed in browsers that do not support the <audio> element.

There are three supported audio formats in HTML: MP3, WAV, and OGG.",<audio>,C:/Users/HP/Documents/python/Scripts/app/images/audio.png
b, <p>This is normal text - <b>and this is bold text</b>.</p> ,The <b> tag specifies bold text without any extra importance.,<b>,C:/Users/HP/Documents/python/Scripts/app/images/b.png
