name,desp,example_input,Syntax,Parameters,example_output,param_description,module,
assert(),"The assert() method tests if a given expression is true or not.

If the expression evaluates to 0, or false, an assertion failure is being caused, and the program is terminated.

The assert() method is an alias of the assert.ok() method.","var assert = require('assert');
assert(50 > 70);"," assert(expression, message);",expression,"C:\Users\My Name>node demo_met_assert.js
AssertionError: false == true ",Required. Specifies an expression to be evaluated,assert,
assert(),,,,message,,"Optional. Specifies the error message to be assigned to the AssertionError. If omitted, a default message is assigned ",assert,
assert.deepEqual(),"The assert.deepEqual() method tests if two objects, and their child objects, are equal, using the == operator.

If the two objects are not equal, an assertion failure is being caused, and the program is terminated.

To compare the objects using the === operator, use the assert.deepStrictEqual() method.","var assert = require('assert');
var x = { a : { n: 0 } };
var y = { a : { n: 0 } };
var z = { a : { n: 1 } };
assert.deepEqual(x, y); //OK
assert.deepEqual(x, z); /*AssertionError: { a: { n: 0 } } deepEqual {a: { n: 1 } }*/"," assert.deepEqual(value1, value2, message);",value1,"C:\Users\My Name>node demo_met_assert_deepequal.js
AssertionError: { a: { n: 0 } } deepEqual {a: { n: 1 } } ",Required. Specifies the first value to be compared,assert,
assert.deepEqual(),,,,value2,,Required. Specifies the second value to be compared,assert,
assert.deepEqual(),,,,message,,"  Optional. Specifies the error message to be assigned to the AssertionError. If omitted, a default message is assigned",assert,
assert.deepStrictEqual(,"The assert.deepStrictEqual() method tests if two objects, and their child objects, are equal, using the === operator.

If the two objects are not equal, an assertion failure is being caused, and the program is terminated.

The === operator tests if the values and the types are equal.

To compare the objects using the == operator, use the assert.deepEqual() method.","var assert = require('assert');
var x = { a : { n: 0 } };
var y = { a : { n: 0 } };
var z = { a : { n: '0' } };
assert.deepStrictEqual(x, y); //OK
assert.deepStrictEqual(x, z); /*AssertionError: { a: { n: 0 } } deepStrictEqual {a: { n: '0' } }*/"," assert.deepStrictEqual(value1, value2, message);",value1,"C:\Users\My Name>node demo_met_assert_deepstrictequal.js
AssertionError: { a: { n: 0 } } deepStrictEqual {a: { n: '0' } }",Required. Specifies the first value to be compared,assert,
assert.deepStrictEqual(,,,,value2,,Required. Specifies the second value to be compared,assert,
assert.deepStrictEqual(,,,,message,,"  Optional. Specifies the error message to be assigned to the AssertionError. If omitted, a default message is assigned",assert,
assert.equal(),"The assert.equal() method tests if two values are equal, using the == operator.

If the two values are not equal, an assertion failure is being caused, and the program is terminated.

To compare the values using the === operator, use the assert.strictEqual() method.","var assert = require('assert');
assert.equal(50, 50); //OK
assert.equal(50, ""50""); //OK
assert.equal(50, 70); /*AssertionError: 50 == 70 */","assert.equal(value1, value2, message);",value1,"C:\Users\My Name>node demo_met_assert_equal.js
AssertionError: 50 == 70 ",Required. Specifies the first value to be compared,assert,
assert.equal(),,,,value2,,Required. Specifies the second value to be compared,assert,
