name,desp,example_input,Syntax,Parameters,example_output,param_description,module
assert(),"The assert() method tests if a given expression is true or not.

If the expression evaluates to 0, or false, an assertion failure is being caused, and the program is terminated.

The assert() method is an alias of the assert.ok() method.","var assert = require('assert');
assert(50 > 70);"," assert(expression, message);",expression*message,"C:\Users\My Name>node demo_met_assert.js
AssertionError: false == true ","Required. Specifies an expression to be evaluated*Optional. Specifies the error message to be assigned to the AssertionError. If omitted, a default message is assigned ",assert
assert.deepEqual(),"The assert.deepEqual() method tests if two objects, and their child objects, are equal, using the == operator.

If the two objects are not equal, an assertion failure is being caused, and the program is terminated.

To compare the objects using the === operator, use the assert.deepStrictEqual() method.","var assert = require('assert');
var x = { a : { n: 0 } };
var y = { a : { n: 0 } };
var z = { a : { n: 1 } };
assert.deepEqual(x, y); //OK
assert.deepEqual(x, z); /*AssertionError: { a: { n: 0 } } deepEqual {a: { n: 1 } }*/","Â assert.deepEqual(value1, value2, message);",value1*value2*message,"C:\Users\My Name>node demo_met_assert_deepequal.js
AssertionError: { a: { n: 0 } } deepEqual {a: { n: 1 } } ","Required. Specifies the first value to be compared*Required. Specifies the second value to be compared*  Optional. Specifies the error message to be assigned to the AssertionError. If omitted, a default message is assigned",assert
assert.deepStrictEqual(,"The assert.deepStrictEqual() method tests if two objects, and their child objects, are equal, using the === operator.

If the two objects are not equal, an assertion failure is being caused, and the program is terminated.

The === operator tests if the values and the types are equal.

To compare the objects using the == operator, use the assert.deepEqual() method.","var assert = require('assert');
var x = { a : { n: 0 } };
var y = { a : { n: 0 } };
var z = { a : { n: '0' } };
assert.deepStrictEqual(x, y); //OK
assert.deepStrictEqual(x, z); /*AssertionError: { a: { n: 0 } } deepStrictEqual {a: { n: '0' } }*/"," assert.deepStrictEqual(value1, value2, message);",value1*value2*message,"C:\Users\My Name>node demo_met_assert_deepstrictequal.js
AssertionError: { a: { n: 0 } } deepStrictEqual {a: { n: '0' } }","Required. Specifies the first value to be compared*Required. Specifies the second value to be compared*  Optional. Specifies the error message to be assigned to the AssertionError. If omitted, a default message is assigned",assert
assert.equal(),"The assert.equal() method tests if two values are equal, using the == operator.

If the two values are not equal, an assertion failure is being caused, and the program is terminated.

To compare the values using the === operator, use the assert.strictEqual() method.","var assert = require('assert');
assert.equal(50, 50); //OK
assert.equal(50, ""50""); //OK
assert.equal(50, 70); /*AssertionError: 50 == 70 */","assert.equal(value1, value2, message);",value1*value2*message,"C:\Users\My Name>node demo_met_assert_equal.js
AssertionError: 50 == 70 ","Required. Specifies the first value to be compared*Required. Specifies the second value to be compared*  Optional. Specifies the error message to be assigned to the AssertionError. If omitted, a default message is assigned",assert
 assert.notDeepEqual(),"The assert.notDeepEqual() method tests if two objects, and their child objects, are NOT equal, using the != operator.

If the two objects are equal, an assertion failure is being caused, and the program is terminated.

To compare the objects using the !== operator, use the assert.notDeepStrictEqual() method.","var assert = require('assert');
var x = { a : { n: 0 } };
var y = { a : { n: 0 } };
var z = { a : { n: 1 } };
assert.notDeepEqual(x, z); //OK
assert.notDeepEqual(x, y); /*AssertionError: { a: { n: 0 } } notDeepEqual {a: { n: 0 } }*/","assert.notDeepEqual(value1, value2, message);",value1*value2*message,"C:\Users\My Name>node demo_met_assert_notdeepequal.js
AssertionError: { a: { n: 0 } } notDeepEqual {a: { n: 0 } } ","Required. Specifies the first value to be compared*Required. Specifies the second value to be compared*  Optional. Specifies the error message to be assigned to the AssertionError. If omitted, a default message is assigned",assert
assert.notDeepStrictEqual(),"The assert.notDeepStrictEqual() method tests if two objects, and their child objects, are NOT equal, using the !== operator.

If the two objects are equal, an assertion failure is being caused, and the program is terminated.

The !== operator tests if both values and types are not equal.

To compare the objects using the != operator, use the assert.notDeepEqual() method.","var assert = require('assert');
var x = { a : { n: 0 } };
var y = { a : { n: 0 } };
var z = { a : { n: '0' } };
assert.notDeepStrictEqual(x, z); //OK
assert.notDeepStrictEqual(x, y); /*AssertionError: { a: { n: 0 } } notDeepStrictEqual {a: { n: 0 } }*/","assert.notDeepStrictEqual(value1, value2, message);",value1*value2*message,"C:\Users\My Name>node demo_met_assert_notdeepstrictequal.js
AssertionError: { a: { n: 0 } } notDeepStrictEqual {a: { n: 0 } } ","Required. Specifies the first value to be compared*Required. Specifies the second value to be compared*  Optional. Specifies the error message to be assigned to the AssertionError. If omitted, a default message is assigned",assert
assert.notEqual(),"The assert.notEqual() method tests if two values are NOT equal, using the != operator.

If the two values are equal, an assertion failure is being caused, and the program is terminated.

To compare the values using the stricter !== operator, use the assert.notStrictEqual() method.","var assert = require('assert');
assert.notEqual(50, 70); //OK
assert.notEqual(50, 50); /*AssertionError: 50 != 50 */","assert.notEqual(value1, value2, message);",value1*value2*message,"C:\Users\My Name>node demo_met_assert_notequal.js
AssertionError: 50 != 50 ","Required. Specifies the first value to be compared*Required. Specifies the second value to be compared*  Optional. Specifies the error message to be assigned to the AssertionError. If omitted, a default message is assigned",assert
assert.ok(),"The assert.ok() method tests if a given expression is true or not.

If the expression evaluates to 0, or false, an assertion failure is being caused, and the program is terminated.","var assert = require('assert');
assert.ok(50 > 70);","assert.ok(expression, message);",expression*message,"C:\Users\My Name>node demo_met_assert_ok.js
AssertionError: false == true ","Required. Specifies an expression to be evaluated*Optional. Specifies the error message to be assigned to the AssertionError. If omitted, a default message is assigned",assert
assert.strictEqual(),"The assert.strictEqual() method tests if two values are equal, using the === operator.

If the two values are not equal, an assertion failure is being caused, and the program is terminated.

The === operator tests if the values are equal and if their types are equal.

To compare the values using the == operator, use the assert.equal() method.","var assert = require('assert');
assert.strictEqual(50, 50); //OK
assert.strictEqual(50, ""50""); /*AssertionError: 50 === '50' */","assert.strictEqual(value1, value2, message);",value1*value2*message,"C:\Users\My Name>node demo_met_assert_strictequal.js
AssertionError: 50 == '50' ","Required. Specifies the first value to be compared*Required. Specifies the second value to be compared*Optional. Specifies the error message to be assigned to the AssertionError. If omitted, a default message is assigned",assert
Buffer.alloc(),The Buffer.alloc() method creates a new buffer object of the specified size.,"var buf = Buffer.alloc(15);
console.log(buf);  ","Buffer.alloc(size, fill, encoding);",size*fill*encoding,"C:\Users\My Name>node demo_met_buffer_alloc.js
<Buffer 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00> ","  Required. Specifies the size of the buffer*Optional. Specifies a value to fill the buffer with if specified, otherwise the buffer is filled with 0 (zero-filled)*Optional. If the buffer values are strings, this parameter specifies the encoding, default encoding is utf8. Supported values are:
""ascii""
""utf8""
""utf16le""
""ucs2""
""base64""
""latin1""
""binary""
""hex""",buffer
