name,Unnamed: 0,desp,example_input,Syntax,example_output,Parameters,param_description
abs(),0.0,The abs() function returns the absolute value of the specified number.,x = abs(-7.25),abs(n),7.25,n,Required. A number
all(),1.0,"The all() function returns True if all items in an iterable are true, otherwise it returns False. If the iterable object is empty, the all() function also returns True.","mylist = [0, 1, 1]
x = all(mylist)",all(iterable),FALSE,iterable,"An iterable object (list, tuple, dictionary)"
any(),2.0,"The any() function returns True if any item in an iterable are true, otherwise it returns False.","mylist = [False, True, False]
x = any(mylist)",any(iterable),TRUE,iterable,"An iterable object (list, tuple, dictionary)"
ascii(),3.0,"The ascii() function returns a readable version of any object (Strings, Tuples, Lists, etc).
The ascii() function will replace any non-ascii characters with escape characters:
̴ will be replaced with \xe5.","x = ascii(""My name is St̴le"")",ascii(object) ,My name is St\e5le' ,object,"  An object, like String, List, Tuple, Dictionary etc."
bin(),4.0,"The bin() function returns the binary version of a specified integer.
The result will always start with the prefix 0b.",x = bin(36),bin(n),0b100100,n,  Required. An integer
bytearray(),5.0,"The bytearray() function returns a bytearray object. It can convert objects into bytearray objects, or create empty bytearray object of the specified size.",x = bytearray(4),"bytearray(x, encoding, error)",,x/encoding/error,"A source to use when creating the bytearray object. If it is an integer, an empty bytearray object of the specified size will be created. If it is a String, make sure you specify the encoding of the source./The encoding of the string/Specifies what to do if the encoding fails."
callable(),6.0,"The callable() function returns True if the specified object is callable, otherwise it returns False.","def x():
  a = 5

print(callable(x))",callable(object),TRUE,object,The object you want to test if it is callable or not.
chr(),7.0,The chr() function returns the character that represents the specified unicode.,x = chr(97) ,chr(number),a,number,An integer representing a valid Unicode code point
complex(),8.0,The complex() function returns a complex number by specifying a real number and an imaginary number.,"x = complex(3, 5)","complex(real, imaginary)",(3+5j),real/imaginary,An integer to assign for real part/An integer to assign for real part
copy(),9.0,The copy() method returns a copy of the specified dictionary.,"car = {
  ""brand"": ""Ford"",
  ""model"": ""Mustang"",
  ""year"": 1964
}

x = car.copy()

print(x) ",dictionary.copy(),"{'brand': 'Ford', 'model': 'Mustang', 'year': 1964} ",,
fromkeys(),10.0,The fromkeys() method returns a dictionary with the specified keys and the specified value.,"x = ('key1', 'key2', 'key3')
y = 0

thisdict = dict.fromkeys(x, y)

print(thisdict)","dict.fromkeys(keys, value)","['key1': 0, 'key2': 0, 'key3': 0] ",keys/value,Required. An iterable specifying the keys of the new dictionary/Optional. The value for all keys. Default value is None 
get(),11.0,The get() method returns the value of the item with the specified key.,"car = {
  ""brand"": ""Ford"",
  ""model"": ""Mustang"",
  ""year"": 1964
}

x = car.get(""model"")

print(x) ","dictionary.get(keyname, value) ",Mustang ,keyname,  Required. The keyname of the item you want to return the value from
items(),12.0,"The items() method returns a view object. The view object contains the key-value pairs of the dictionary, as tuples in a list.","car = {
  ""brand"": ""Ford"",
  ""model"": ""Mustang"",
  ""year"": 1964
}

x = car.items()

print(x)",dictionary.items() ,"dict_items([('brand', 'Ford'), ('model', 'Mustang'), ('year', 1964)]) ",,
keys(),13.0,"The keys() method returns a view object. The view object contains the keys of the dictionary, as a list.

The view object will reflect any changes done to the dictionary, see example below.","car = {
  ""brand"": ""Ford"",
  ""model"": ""Mustang"",
  ""year"": 1964
}

x = car.keys()

print(x) ",dictionary.keys() ,"dict_keys(['brand', 'model', 'year']) ",,
pop(),14.0,"The pop() method removes the specified item from the dictionary.

The value of the removed item is the return value of the pop() method, see example below.","car = {
  ""brand"": ""Ford"",
  ""model"": ""Mustang"",
  ""year"": 1964
}

car.pop(""model"")

print(car) ","dictionary.pop(keyname, defaultvalue)","{'brand': 'Ford', 'year': 1964} ",keyname/defaultvalue,"  Required. The keyname of the item you want to remove/  Optional. A value to return if the specified key do not exist.

If this parameter is not specified, and the no item with the specified key is found, an error is raised"
