name,desp,example,synx,parameter,output,module
pow(),The pow() function computes a base number raised to the power of exponent number.,"#include <iostream>
#include <cmath>
using namespace std;

int main ()
{
	double base, exponent, result;
	
	base = 3.4;
	exponent = 4.4;
	result = pow(base, exponent);
	
	cout << base << ""^"" << exponent << "" = "" << result;
	
	return 0;
}","double pow(double base, double exponent);
float pow(float base, float exponent);
long double pow(long double base, long double exponent);
Promoted pow(Type1 base, Type2 exponent); // For other argument types","The pow() function takes two arguments :
base - the base value
exponent - exponent of the base",3.4^4.4 = 218.025,Cmath
llrint(),The llrint() function in C++ rounds the argument to an integral value using the current rounding mode.,"#include <iostream>
#include <cmath>
#include <cfenv>
using namespace std;

int main()
{
    // by default, rounding direction is to-nearest i.e. fesetround(FE_TONEAREST)
    double x = 11.87;
    long long int result;
    result = llrint(x);
    cout << ""Rounding to-nearest ("" << x << "") = "" << result << endl;
    
    // mid-way values are rounded off to higher integer
    x = 11.5;
    result = llrint(x);
    cout << ""Rounding to-nearest ("" << x << "") = "" << result << endl;

    // setting rounding direction to DOWNWARD
    fesetround(FE_DOWNWARD);
    x = 11.87;
    result = llrint(x);
    cout << ""Rounding downward ("" << x << "") = "" << result << endl;
    
    // setting rounding direction to UPWARD
    fesetround(FE_UPWARD);
    x = 33.32;
    result = llrint(x);
    cout << ""Rounding upward ("" << x << "") = "" << result << endl;
    
    return 0;
}","long long int llrint(double x);
long long int llrint(float x);
long long int llrint(long double x);
long long int llrint(T x); // For integral type",The llrint() function takes a single argument value to round.,"Rounding to-nearest (11.87) = 12
Rounding to-nearest (11.5) = 12
Rounding downward (11.8699) = 11
Rounding upward (33.3201) = 34",Cmath
remainder(),The remainder() function in C++ computes the floating point remainder of numerator/denominator (rounded to nearest).,"#include <iostream>
#include <cmath>

using namespace std;

int main()
{
    double x = 7.5, y = 2.1;
    double result = remainder(x, y);
    cout << ""Remainder of "" << x << ""/"" << y << "" = "" << result << endl;

    x = -17.50, y=2.0;
    result = remainder(x, y);
    cout << ""Remainder of "" << x << ""/"" << y << "" = "" << result << endl;
    
    y=0;
    result = remainder(x, y);
    cout << ""Remainder of "" << x << ""/"" << y << "" = "" << result << endl;
    
    return 0;
}","double remainder(double x, double y);
float remainder(float x, float y);
long double remainder(long double x, long double y);
double remainder(Type1 x, Type2 y); // Additional overloads for other combinations of arithmetic types","x - The value of numerator.
y - The value of denominator.","Remainder of 7.5/2.1 = -0.9
Remainder of -17.5/2 = 0.5
Remainder of -17.5/0 = -nan",Cmath
cosh(),The cosh() function in C++ returns the hyperbolic cosine of an angle given in radians.,"#include <iostream>
#include <cmath>
using namespace std;
int main()
{
    double x = 4.55, result;

    result = cosh(x);
    cout << ""cosh(x) = "" << result << endl;

    // x in Degrees
    double xDegrees = 90;
    x = xDegrees * 3.14159/180;

    result = cosh(x);
    cout << ""cosh(x) = "" << result << endl;

    return 0;
}","double cosh(double x);
float cosh(float x);
long double cosh(long double x);
double cosh(T x); // For integral type.",The cosh() function takes a single mandatory argument representing a hyperbolic angle in radians.,"cosh(x) = 47.3215
cosh(x) = 2.50918",Cmath
copysign(),The copysign() function in C++ takes two arguments and returns a value with the magnitude of first argument and sign of second argument.,"#include <iostream>
#include <cmath>

using namespace std;

int main()
{
    double x = 34.15, y = -13.0, result;
    
    result = copysign(x, y);
    cout << ""copysign("" << x << "","" << y << "") = "" << result << endl;
    
    return 0;
}","double copysign(double x, double y);
float copysign(float x, float y);
long double copysign(long double x, long double y);
Promoted copysign(Type1 x, Type2 y); // Additional overloads for arithmetic types","x: Value with the magnitude of the resulting value.


y: Value with the sign of the resulting value.","copysign(34.15,-13) = -34.15",Cmath
abs(),The abs() function in C++ returns the absolute value of the argument.,"#include <iostream>
#include <cmath>

using namespace std;

int main()
{
    double x = -87.91, result;
    
    result = abs(x);
    cout << ""abs("" << x << "") = |"" << x << ""| = "" << result << endl;

    return 0;
}","double abs(double x);
float abs(float x);
long double abs(long double x);
double abs(T x); // For integral type","The abs() function takes a single argument, x whose absolute value is returned.",abs(-87.91) = |-87.91| = 87.91,Cmath
fabs(),The fabs() function in C++ returns the absolute value of the argument.,"#include <iostream>
#include <cmath>

using namespace std;

int main()
{
    double x = -10.25, result;
    
    result = fabs(x);
    cout << ""fabs("" << x << "") = |"" << x << ""| = "" << result << endl;

    return 0;
}","double fabs(double x);
float fabs(float x);
long double fabs(long double x);
double fabs(T x); // For integral type","The fabs() function takes a single argument, x whose absolute value is returned.",fabs(-10.25) = |-10.25| = 10.25,Cmath
fdim(),The fdim() function in C++ takes two arguments and returns the positive difference between first and second argument.,"#include <iostream>
#include <cmath>
using namespace std;

int main()
{
    double x = 22.31, y = 13.17, result;
    result = fdim(x, y);
    cout << ""fdim(x, y) = "" << result << endl;

    long double xLD = -22.31, resultLD;
    y = 13.14;
    resultLD = fdim(xLD, y);
    cout << ""fdim(xLD, y) = "" << resultLD << endl;
		
    return 0;
}","double fdim(double x, double y);
float fdim(float x, float y);
long double fdim(long double x, long double y);
Promoted fdim(Type1 x, Type2 y); // For other combinations of arithmetic types.","The fdim() function take two parameters of either floating-point or integral type:x - first argument to fdim()
y - second argument to fdim()","fdim(x, y) = 9.14
fdim(xLD, yLD) = 0",Cmath
fmin(),"The fmin() function in C++ takes two arguments and returns the smallest among them. If one of the argument is NaN, the other argument is returned.","#include <iostream>
#include <cmath>

using namespace std;

int main()
{
    double x = -2.05, y = NAN, result;
    
    result = fmin(x, y);
    cout << ""fmin(x, y) = "" << result << endl;

    return 0;
}","double fmin(double x, double y);
float fmin(float x, float y);
long double fmin(long double x, long double y);
Promoted fmin(Type1 x, Type2 y); // Additional overloads for arithmetic types","x: The first argument of fmin().
y: The second argument of fmin().","fmin(x, y) = -2.05",Cmath
fmax(),"The fmax() function in C++ takes two arguments and returns the largest among them. If one of the argument is NaN, the other argument is returned.","#include <iostream>
#include <cmath>

using namespace std;

int main()
{
    double x = -2.05, y = NAN, result;

    result = fmax(x, y);
    cout << ""fmax(x, y) = "" << result << endl;

    return 0;
}","double fmax(double x, double y);
float fmax(float x, float y);
long double fmax(long double x, long double y);
Promoted fmax(Type1 x, Type2 y); // Additional overloads for arithmetic types","x: The first argument of fmax().
y: The second argument of fmax().","fmax(x, y) = -2.05",Cmath
hypot(),The hypot() function in C++ returns the square root of sum of square of arguments passed.,"#include <iostream>
#include <cmath>
using namespace std;

int main()
{
	double x = 2.1, y = 3.1, result;
	result = hypot(x, y);
	cout << ""hypot(x, y) = "" << result << endl;
	
	long double yLD, resultLD;
	x = 3.52;
	yLD = 5.232342323;
	
	// hypot() returns long double in this case
	resultLD = hypot(x, yLD);
	cout << ""hypot(x, yLD) = "" << resultLD;
	
	return 0;
}","double hypot(double x, double y);
float hypot(float x, float y);
long double hypot(long double x, long double y);
Promoted pow(Type1 x, Type2 y);

double hypot(double x, double y, double x); // (since C++17)
float hypot(float x, float y, float z); // (since C++17)
long double hypot(long double x, long double y, long double z); // (since C++17)
Promoted pow(Type1 x, Type2 y, Type2 y); // (since C++17)",The hytpot() takes either 2 or 3 parameters of integral or floating-point type.,"hypot(x, y) = 3.74433
hypot(x, yLD) = 6.30617",Cmath
nexttoward(),The nexttoward() function in C++ takes two arguments and returns the next representable value after x in the direction of y.,"#include <iostream>
#include <cmath>

using namespace std;

int main()
{
    long double y = -1.0;
    double x = 0.0;
    
    double result = nexttoward(x, y);
    cout << ""nexttoward(x, y) = "" << result << endl;

    return 0;
}","double nexttoward(double x, long double y);
float nexttoward(float x, long float y);
long double nexttoward(long double x, long double y);
double nexttoward(T x, long double y); // For integral type","x: The base value.
y: The value towards which the return value is approximated.","nexttoward(x, y) = -4.94066e-324",Cmath
nextafter(),The nextafter() function in C++ takes two arguments and returns the next representable value after x in the direction of y.,"#include <iostream>
#include <cmath>

using namespace std;

int main()
{
    double x = 0.0, y = 1.0;

    double resultInDouble = nextafter(x,y);
    cout << ""nextafter(x, y) = "" << resultInDouble << endl;

    return 0;
}","double nextafter(double x, double y);
float nextafter(float x, float y);
long double nextafter(long double x, long double y);
Promoted nextafter(Type1 x, Type2 y); // Additional overloads","x: The base value.
y: The value towards which the return value is approximated.","nextafter(x, y) = 4.94066e-324",Cmath
cbrt(),The cbrt() function in C++ returns the cube root of a number.,"#include <iostream>
#include <cmath>
using namespace std;

int main()
{
    double x = -1000.0, result;
    result = cbrt(x);
    cout << ""Cube root of "" << x << "" is "" << result << endl;

    return 0;
}","double cbrt(double x);
float cbrt(float x);
long double cbrt(long double x);
double cbrt(T x); // For integral type",The cbrt() function takes a single argument whose cube root is to be calculated.,Cube root of -1000 is -10,Cmath
sqrt(),The sqrt() function in C++ returns the square root of a number.,"#include <iostream>
#include <cmath>
using namespace std;

int main()
{
	double x = 10.25, result;
	result = sqrt(x);
	cout << ""Square root of "" << x << "" is "" << result << endl;

	return 0;
}","double sqrt(double x);
float sqrt(float x);
long double sqrt(long double x);
double sqrt(T x); // For integral type","The sqrt() function takes a single non-negative argument.If negative argument is passed to sqrt() function, domain error occurs.",Square root of 10.25 is 3.20156,Cmath
remquo(),The remquo() function in C++ computes the floating point remainder of numerator/denominator and also stores the quotient to the pointer passed to it.,"#include <iostream>
#include <cmath>

using namespace std;

int main()
{
    int q;
    double x = 12.5, y = 2.2;

    double result = remquo(x, y, &q);
    cout << ""Remainder of "" << x << ""/"" << y << "" = "" << result << endl;
    cout << ""Quotient of "" << x << ""/"" << y << "" = "" << q << endl << endl;

    x = -12.5;
    result = remquo(x, y, &q);
    cout << ""Remainder of "" << x << ""/"" << y << "" = "" << result << endl;
    cout << ""Quotient of "" << x << ""/"" << y << "" = "" << q << endl << endl;

    y = 0;
    result = remquo(x, y, &q);
    cout << ""Remainder of "" << x << ""/"" << y << "" = "" << result << endl;
    cout << ""Quotient of "" << x << ""/"" << y << "" = "" << q << endl << endl;
    
    return 0;
}","double remquo(double x, double y, int* q); 
float remquo(float x, float y, int* q);
long double remquo(long double x, long double y, int* q);
double remquo(Type1 x, Type2 y, int* q); // Additional overloads for other combinations of arithmetic types.","x: The value of numerator.
y: The value of denominator.
q: Pointer to an object where the quotient internally used to determine the remainder is stored as a value of type int.","Remainder of 12.5/2.2 = -0.7
Quotient of 12.5/2.2 = 6

Remainder of -12.5/2.2 = 0.7
Quotient of -12.5/2.2 = -6

Remainder of -12.5/0 = -nan
Quotient of -12.5/0 = 0",Cmath
